runtime_addr,name,size,bucket,in_sweep_dead,cdl_n_tracks_alive,bp_n_tracks_fired,combined_label,cdl_cs1_dino_canyon,cdl_cs2_seaside,cdl_cs3_track4,cdl_cs4_track5,bp_cs1_dino_canyon,bp_cs2_seaside,bp_cs3_track4,bp_cs4_track5
0x0602B100,FUN_06003100,192,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602B1C0,FUN_060031C0,108,,0,4,4,LIVE,8,8,8,8,1,1,1,1
0x0602B22C,FUN_0600322C,1192,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602B6D4,FUN_060036D4,28,,0,4,4,LIVE,26,26,26,26,1,1,1,1
0x0602B6F0,FUN_060036F0,968,,0,4,4,LIVE,524,524,524,524,1,1,1,1
0x0602BAB8,FUN_06003AB8,26,,0,4,4,LIVE,24,24,24,24,1,1,1,1
0x0602BAD2,FUN_06003AD2,778,B1,1,4,0,KILL_LIST,256,256,256,256,0,0,0,0
0x0602BDDC,FUN_06003DDC,226,B1,1,4,0,KILL_LIST,162,162,162,162,0,0,0,0
0x0602BEBE,FUN_06003EBE,484,,0,4,4,LIVE,302,302,302,302,1,1,1,1
0x0602C0A2,FUN_060040A2,384,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602C222,FUN_06004222,470,,0,4,4,LIVE,28,28,28,28,1,1,1,1
0x0602C3F8,FUN_060043F8,98,,0,4,4,LIVE,66,66,66,66,1,1,1,1
0x0602C45A,FUN_0600445A,320,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602C59A,FUN_0600459A,344,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602C6F2,FUN_060046F2,114,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602C764,FUN_06004764,96,B5,1,4,0,KILL_LIST,40,40,40,40,0,0,0,0
0x0602C7C4,FUN_060047C4,144,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602C854,FUN_06004854,214,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602C92A,FUN_0600492A,234,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602CA14,FUN_06004A14,274,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602CB26,FUN_06004B26,2,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602CB28,FUN_06004B28,332,B5,1,4,0,KILL_LIST,282,282,282,282,0,0,0,0
0x0602CC74,FUN_06004C74,292,,0,4,4,LIVE,10,10,10,10,1,1,1,1
0x0602CD98,FUN_06004D98,376,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602CF10,FUN_06004F10,322,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602D052,FUN_06005052,176,,0,4,4,LIVE,58,58,58,58,1,1,1,1
0x0602D102,FUN_06005102,56,,0,4,4,LIVE,52,52,52,52,1,1,1,1
0x0602D13A,FUN_0600513A,310,,0,4,4,LIVE,76,76,76,76,1,1,1,1
0x0602D270,FUN_06005270,274,,0,4,4,LIVE,86,86,86,86,1,1,1,1
0x0602D382,FUN_06005382,16,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602D392,FUN_06005392,318,,0,4,4,LIVE,114,114,114,114,1,1,1,1
0x0602D4D0,FUN_060054D0,96,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602D530,FUN_06005530,604,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602D78C,FUN_0600578C,142,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602D81A,FUN_0600581A,92,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602D876,FUN_06005876,62,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602D8B4,FUN_060058B4,316,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602D9F0,FUN_060059F0,190,,0,0,3,LIVE,0,0,0,0,1,0,1,1
0x0602DAAE,FUN_06005AAE,302,,0,0,3,LIVE,0,0,0,0,1,0,1,1
0x0602DBDC,FUN_06005BDC,164,,0,4,4,LIVE,142,142,142,142,1,1,1,1
0x0602DC80,FUN_06005C80,194,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602DD42,FUN_06005D42,14,,0,4,4,LIVE,12,12,12,12,1,1,1,1
0x0602DD50,FUN_06005D50,16,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602DD60,FUN_06005D60,252,,0,0,3,LIVE,0,0,0,0,1,0,1,1
0x0602DE5C,FUN_06005E5C,132,,0,0,3,LIVE,0,0,0,0,1,0,1,1
0x0602DEE0,FUN_06005EE0,188,,0,4,4,LIVE,170,170,170,170,1,1,1,1
0x0602DF9C,FUN_06005F9C,160,,0,4,4,LIVE,88,88,88,88,1,1,1,1
0x0602E03C,FUN_0600603C,88,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602E094,FUN_06006094,108,,0,4,4,LIVE,50,50,50,50,1,1,1,1
0x0602E100,FUN_06006100,358,,0,3,4,LIVE,0,166,166,166,1,1,1,1
0x0602E266,FUN_06006266,268,,0,1,0,LIVE,0,140,0,0,0,0,0,0
0x0602E372,FUN_06006372,130,,0,3,4,LIVE,0,38,38,38,1,1,1,1
0x0602E3F4,FUN_060063F4,324,,0,0,3,LIVE,0,0,0,0,1,0,1,1
0x0602E538,FUN_06006538,12,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602E544,FUN_06006544,100,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602E5A8,FUN_060065A8,24,B1,1,4,1,SWEEP_FALSE_DEAD,18,18,18,18,0,1,0,0
0x0602E5C0,FUN_060065C0,24,B1,1,0,1,SWEEP_FALSE_DEAD,0,0,0,0,0,1,0,0
0x0602E5D8,FUN_060065D8,56,B1,1,0,1,SWEEP_FALSE_DEAD,0,0,0,0,0,1,0,0
0x0602E610,FUN_06006610,352,,0,4,4,LIVE,246,246,246,246,1,1,1,1
0x0602E770,FUN_06006770,124,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602E7EC,FUN_060067EC,10,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602E7F6,FUN_060067F6,146,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602E888,FUN_06006888,22,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602E89E,FUN_0600689E,18,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602E8B0,FUN_060068B0,8,B1,1,1,0,KILL_LIST,0,0,0,6,0,0,0,0
0x0602E8B8,FUN_060068B8,208,,0,1,4,LIVE,0,0,0,32,1,1,1,1
0x0602E988,FUN_06006988,228,,0,4,4,LIVE,56,56,56,214,1,1,1,1
0x0602EA6C,FUN_06006A6C,118,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602EAE2,FUN_06006AE2,414,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602EC80,FUN_06006C80,42,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602ECAA,FUN_06006CAA,180,,0,1,0,LIVE,0,0,0,54,0,0,0,0
0x0602ED5E,FUN_06006D5E,38,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602ED84,FUN_06006D84,212,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602EE58,FUN_06006E58,12,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602EE64,FUN_06006E64,64,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602EEA4,FUN_06006EA4,44,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602EED0,FUN_06006ED0,10,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602EEDA,FUN_06006EDA,130,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602EF5C,FUN_06006F5C,136,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x0602EFE4,FUN_06006FE4,142,,0,3,4,LIVE,64,64,0,64,1,1,1,1
0x0602F072,FUN_06007072,162,B1,1,4,4,SWEEP_FALSE_DEAD,70,70,70,70,1,1,1,1
0x0602F114,FUN_06007114,100,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602F178,FUN_06007178,148,B1,1,4,0,KILL_LIST,110,110,110,110,0,0,0,0
0x0602F20C,FUN_0600720C,104,B1,1,4,0,KILL_LIST,98,98,98,98,0,0,0,0
0x0602F274,FUN_06007274,68,B1,1,4,0,KILL_LIST,62,62,62,62,0,0,0,0
0x0602F2B8,FUN_060072B8,82,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F30A,FUN_0600730A,24,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F322,FUN_06007322,16,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F332,FUN_06007332,190,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602F3F0,FUN_060073F0,182,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F4A6,FUN_060074A6,90,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F500,FUN_06007500,28,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F51C,FUN_0600751C,150,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F5B2,FUN_060075B2,170,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F65C,FUN_0600765C,356,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602F7C0,FUN_060077C0,138,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602F84A,FUN_0600784A,158,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602F8E8,FUN_060078E8,24,,0,4,4,LIVE,22,22,22,22,1,1,1,1
0x0602F900,FUN_06007900,64,,0,4,4,LIVE,16,16,16,16,1,1,1,1
0x0602F940,FUN_06007940,26,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602F95A,FUN_0600795A,142,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602F9E8,FUN_060079E8,32,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FA08,FUN_06007A08,108,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602FA74,FUN_06007A74,20,B5,1,4,4,SWEEP_FALSE_DEAD,16,16,16,16,1,1,1,1
0x0602FA88,FUN_06007A88,16,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FA98,FUN_06007A98,84,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FAEC,FUN_06007AEC,8,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FAF4,FUN_06007AF4,4,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FAF8,FUN_06007AF8,156,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FB94,FUN_06007B94,12,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FBA0,FUN_06007BA0,240,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FC90,FUN_06007C90,68,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FCD4,FUN_06007CD4,42,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FCFE,FUN_06007CFE,58,,0,4,4,LIVE,50,50,50,50,1,1,1,1
0x0602FD38,FUN_06007D38,12,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FD44,FUN_06007D44,80,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602FD94,FUN_06007D94,346,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602FEEE,FUN_06007EEE,210,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0602FFC0,FUN_06007FC0,36,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FFE4,FUN_06007FE4,10,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x0602FFEE,FUN_06007FEE,162,,0,3,4,LIVE,24,24,0,24,1,1,1,1
0x06030090,FUN_06008090,26,,0,4,4,LIVE,24,24,24,24,1,1,1,1
0x060300AA,FUN_060080AA,920,,0,4,4,LIVE,180,180,180,704,1,1,1,1
0x06030442,FUN_06008442,222,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06030520,FUN_06008520,522,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603072A,FUN_0600872A,118,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060307A0,FUN_060087A0,132,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030824,FUN_06008824,156,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x060308C0,FUN_060088C0,348,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06030A1C,FUN_06008A1C,44,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030A48,FUN_06008A48,20,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030A5C,FUN_06008A5C,36,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030A80,FUN_06008A80,14,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030A8E,FUN_06008A8E,74,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030AD8,FUN_06008AD8,34,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06030AFA,FUN_06008AFA,22,,0,4,4,LIVE,20,20,20,20,1,1,1,1
0x06030B10,FUN_06008B10,108,,0,4,4,LIVE,94,94,94,96,1,1,1,1
0x06030B7C,FUN_06008B7C,40,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06030BA4,FUN_06008BA4,20,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06030BB8,FUN_06008BB8,108,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030C24,FUN_06008C24,54,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030C5A,FUN_06008C5A,34,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030C7C,FUN_06008C7C,34,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030C9E,FUN_06008C9E,12,,0,3,4,LIVE,0,10,10,10,1,1,1,1
0x06030CAA,FUN_06008CAA,118,,0,4,4,LIVE,26,74,74,74,1,1,1,1
0x06030D20,FUN_06008D20,144,,0,4,4,LIVE,124,124,90,124,1,1,1,1
0x06030DB0,FUN_06008DB0,62,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030DEE,FUN_06008DEE,68,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030E32,FUN_06008E32,22,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030E48,FUN_06008E48,128,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06030EC8,FUN_06008EC8,140,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06030F54,FUN_06008F54,180,B1,1,0,4,SWEEP_FALSE_DEAD,0,0,0,0,1,1,1,1
0x06031008,FUN_06009008,24,,0,3,4,LIVE,22,22,0,22,1,1,1,1
0x06031020,FUN_06009020,704,,0,3,4,LIVE,254,258,0,266,1,1,1,1
0x060312E0,FUN_060092E0,284,,0,0,0,LIVE,0,0,0,0,0,0,0,0
0x060313FC,FUN_060093FC,590,,0,4,4,LIVE,168,184,116,168,1,1,1,1
0x0603164A,FUN_0600964A,238,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06031738,FUN_06009738,116,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060317AC,FUN_060097AC,156,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031848,FUN_06009848,448,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031A08,FUN_06009A08,260,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031B0C,FUN_06009B0C,120,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031B84,FUN_06009B84,8,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031B8C,FUN_06009B8C,86,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031BE2,FUN_06009BE2,224,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031CC2,FUN_06009CC2,312,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031DFA,FUN_06009DFA,306,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06031F2C,FUN_06009F2C,228,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032010,FUN_0600A010,140,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603209C,FUN_0600A09C,516,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060322A0,FUN_0600A2A0,172,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603234C,FUN_0600A34C,412,,0,4,4,LIVE,310,310,310,310,1,1,1,1
0x060324E8,FUN_0600A4E8,68,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603252C,FUN_0600A52C,328,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032674,FUN_0600A674,584,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060328BC,FUN_0600A8BC,92,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032918,FUN_0600A918,408,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032AB0,FUN_0600AAB0,252,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032BAC,FUN_0600ABAC,540,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032DC8,FUN_0600ADC8,20,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032DDC,FUN_0600ADDC,56,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032E14,FUN_0600AE14,48,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06032E44,FUN_0600AE44,620,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060330B0,FUN_0600B0B0,96,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06033110,FUN_0600B110,404,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060332A4,FUN_0600B2A4,200,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603336C,FUN_0600B36C,226,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603344E,FUN_0600B44E,24,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06033466,FUN_0600B466,214,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x0603353C,FUN_0600B53C,168,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060335E4,FUN_0600B5E4,228,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060336C8,FUN_0600B6C8,80,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06033718,FUN_0600B718,280,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06033830,FUN_0600B830,320,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033970,FUN_0600B970,264,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033A78,FUN_0600BA78,52,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033AAC,FUN_0600BAAC,78,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033AFA,FUN_0600BAFA,52,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033B2E,FUN_0600BB2E,54,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033B64,FUN_0600BB64,116,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06033BD8,FUN_0600BBD8,230,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06033CBE,FUN_0600BCBE,266,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06033DC8,FUN_0600BDC8,1720,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034480,FUN_0600C480,456,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034648,FUN_0600C648,160,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060346E8,FUN_0600C6E8,80,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034738,FUN_0600C738,252,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034834,FUN_0600C834,122,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060348AE,FUN_0600C8AE,86,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034904,FUN_0600C904,196,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060349C8,FUN_0600C9C8,216,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034AA0,FUN_0600CAA0,258,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034BA2,FUN_0600CBA2,58,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034BDC,FUN_0600CBDC,4,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034BE0,FUN_0600CBE0,144,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034C70,FUN_0600CC70,124,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x06034CEC,FUN_0600CCEC,70,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06034D32,FUN_0600CD32,94,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06034D90,FUN_0600CD90,428,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06034F3C,FUN_0600CF3C,24,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x06034F54,FUN_0600CF54,632,,0,0,4,LIVE,0,0,0,0,1,1,1,1
0x060351CC,FUN_0600D1CC,302,,0,4,4,LIVE,104,104,104,104,1,1,1,1
0x060352FA,FUN_0600D2FA,310,B5,1,4,0,KILL_LIST,20,20,20,20,0,0,0,0
0x06035430,FUN_0600D430,112,B1,1,0,0,COVERAGE_BLIND,0,0,0,0,0,0,0,0
0x060354A0,FUN_0600D4A0,388,B3,1,4,0,KILL_LIST,292,294,292,292,0,0,0,0
0x06035624,FUN_0600D624,212,B5,1,4,0,KILL_LIST,166,166,160,170,0,0,0,0
0x060356F8,FUN_0600D6F8,80,B5,1,4,0,KILL_LIST,32,32,32,32,0,0,0,0
0x06035748,FUN_0600D748,8,B5,1,4,0,KILL_LIST,6,6,6,6,0,0,0,0
