addr,name,symbol_class,predecessor,pred_last_insns,status,decision,confidence,style,kind,R1,R2,R3,R4,R5,R6,H1,H2,H3,H4,H5,notes,batch_id,decided_at,kind_predicted,direct_callers,shifted_callers,shift_detail,predecessor_terminates,orphan_count,bypass_detected,kind_hint,verdict_hint
0x0602D81A,FUN_0602D81A,global-FUN,FUN_0602D7AC,bsr|shll,decided,MERGE,HIGH,N/A,dispatch-target,-,-,-,-,-,-,Y,Y,Y,Y,-,intra-fn state label in FUN_0602D7AC body; reached via bsr/delay-slot trampoline from .L_0602D806 (first insn add r13 r5 doubles as delay slot of bsr FUN_0602D052); zero external callers (checked binary: pool at 060291BC emits 0x0600581A not 0x0602D81A so the apparent ref is misleading comment),B003,2026-05-13,altentry,0,0,,N,0,Y,dispatch-target,zero-caller
0x0602D850,FUN_0602D850,global-FUN,FUN_0602D81A,mov|bsr,decided,KEEP,HIGH,N/A,dispatch-target,-,-,-,-,-,-,Y,Y,Y,Y,-,intra-fn dispatch label in FUN_0602D7AC body; reached by intra-fn bra FUN_0602D850 from line 5314 + fall-through from FUN_0602D81A; uses parent r8/r11; zero external callers; no sym_-trap,B003,2026-05-14,altentry,1,0,,N,0,-,,has-direct-caller
0x0602D876,FUN_0602D876,global-FUN,FUN_0602D850,mov|add,decided,MERGE,HIGH,N/A,dispatch-target,-,-,-,-,-,-,Y,Y,Y,Y,-,intra-fn dispatch label in FUN_0602D7AC body; reached by sequential fall-through from FUN_0602D850; uses parent r9/r3/r0; zero external callers; verified pool at 06028E58 emits 0x06005876 (init addr) not 0x0602D876 -- sym_-trap confirmed false-positive,B003,2026-05-14,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602D8B4,FUN_0602D8B4,global-FUN,FUN_0602D876,mov|mov,decided,MERGE,HIGH,N/A,dispatch-target,-,-,-,-,-,-,Y,Y,Y,Y,-,intra-fn dispatch label in FUN_0602D7AC body; reached by sequential fall-through from FUN_0602D876; uses parent r6/r5/r7; zero external callers; 6 sym_060058B4 pool sites verified as init cross-refs (fixed) not race-internal,B003,2026-05-14,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602E7F6,FUN_0602E7F6,global-FUN,FUN_0602E7EC,mov|mov,decided,MERGE,HIGH,N/A,dispatch-target,-,-,-,-,-,-,Y,Y,Y,Y,-,Ghidra prologue-bias hallucination -- sts.l pr at this addr is mid-body of FUN_0602E7EC not a separate function; Ghidra decomp signature has in_r1/in_r2/in_r3 (non-compilable as standalone C); live entry is FUN_0602E7EC (clean 2-param signature + 3 cross-fn callers); merge into FUN_0602E7EC asm block,B003,2026-05-14,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602E888,FUN_0602E888,global-FUN,FUN_0602E7F6,mul|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,20,Y,dispatch-target,zero-caller
0x0602E89E,FUN_0602E89E,global-FUN,FUN_0602E888,shll2|shll2,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602E8B8,FUN_0602E8B8,global-FUN,FUN_0602E8B0,extu|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-8:1,N,0,-,callsite-shifted-A,callsite-shifted
0x0602EA6C,FUN_0602EA6C,global-FUN,FUN_0602E988,extu|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-2:1,Y,1,-,callsite-shifted-A,callsite-shifted
0x0602EAE2,FUN_0602EAE2,global-FUN,FUN_0602EA6C,shll8|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,2,-2:2,N,0,Y,callsite-shifted-A,callsite-shifted
0x0602EC96,FUN_0602EC96,global-FUN,FUN_0602EC80,add|bf/s,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,-,,has-direct-caller
0x0602EDDA,DAT_0602EDDA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0602F036,DAT_0602F036,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0602F054,DAT_0602F054,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0602F1D4,DAT_0602F1D4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,3,0,,,,,,has-direct-caller
0x0602F274,FUN_0602F274,global-FUN,FUN_0602F20C,add|jsr,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,Y,,has-direct-caller
0x0602F30A,FUN_0602F30A,global-FUN,FUN_0602F2B8,shll2|shll2,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602F312,DAT_0602F312,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,2,0,,,,,,has-direct-caller
0x0602F322,FUN_0602F322,global-FUN,FUN_0602F30A,mov|nop,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,Y,8,Y,,has-direct-caller
0x0602F32A,DAT_0602F32A,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0602F332,FUN_0602F332,global-FUN,FUN_0602F322,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-8:1,Y,4,-,callsite-shifted-A,callsite-shifted
0x0602F500,FUN_0602F500,global-FUN,FUN_0602F4A6,tst|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-38:1,Y,19,-,callsite-shifted-A,callsite-shifted
0x0602F564,DAT_0602F564,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0602F814,DAT_0602F814,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0602FA08,FUN_0602FA08,global-FUN,FUN_0602F9E8,shll|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,7,-,callsite-shifted-B,zero-caller
0x0602FA74,FUN_0602FA74,global-FUN,FUN_0602FA08,mov|bf,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602FD44,FUN_0602FD44,global-FUN,FUN_0602FD38,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0602FD94,FUN_0602FD94,global-FUN,FUN_0602FD44,shll|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06030200,DAT_06030200,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,1,0,,,,,,has-direct-caller
0x06030A8E,FUN_06030A8E,global-FUN,FUN_06030A80,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06030BB8,FUN_06030BB8,global-FUN,FUN_06030BA4,extu|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06030DAA,DAT_06030DAA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06030E48,FUN_06030E48,global-FUN,FUN_06030E32,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,2,-,callsite-shifted-B,zero-caller
0x06030F54,FUN_06030F54,global-FUN,FUN_06030EC8,tst|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,8,-,callsite-shifted-B,zero-caller
0x06031B8C,FUN_06031B8C,global-FUN,FUN_06031B84,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-8:1,N,0,-,callsite-shifted-A,callsite-shifted
0x06031BCE,DAT_06031BCE,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06031C84,DAT_06031C84,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06032DDC,FUN_06032DDC,global-FUN,FUN_06032DC8,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06033466,FUN_06033466,global-FUN,FUN_0603344E,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x060335B4,DAT_060335B4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06033656,DAT_06033656,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x060336FA,DAT_060336FA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06033B62,DAT_06033B62,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06033BD8,FUN_06033BD8,global-FUN,FUN_06033B64,extu|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-2:1,Y,1,-,callsite-shifted-A,callsite-shifted
0x06034600,DAT_06034600,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0603468E,DAT_0603468E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06034A56,DAT_06034A56,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06034BDC,FUN_06034BDC,global-FUN,FUN_06034BA2,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,Y,dispatch-target,zero-caller
0x06034BE0,FUN_06034BE0,global-FUN,FUN_06034BDC,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06035314,DAT_06035314,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,3,0,,,,,,has-direct-caller
0x06036608,FUN_06036608,global-FUN,FUN_0603631C,muls|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,3,-22:3,Y,83,Y,,has-direct-caller
0x06036770,FUN_06036770,global-FUN,FUN_06036608,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,6,-,callsite-shifted-B,zero-caller
0x06036E14,FUN_06036E14,global-FUN,FUN_06036DA6,and|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,Y,,has-direct-caller
0x0603726C,DAT_0603726C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06037364,DAT_06037364,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,1,-8:1,,,,,has-direct-caller
0x0603740E,DAT_0603740E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,2,0,,,,,,has-direct-caller
0x06037442,DAT_06037442,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,2,0,,,,,,has-direct-caller
0x060375F6,DAT_060375F6,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x06037D94,DAT_06037D94,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06037DB8,DAT_06037DB8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06037DDC,DAT_06037DDC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06037E00,DAT_06037E00,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x06037E24,DAT_06037E24,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,5,1,-6:1,,,,,has-direct-caller
0x06038202,FUN_06038202,global-FUN,FUN_06037FD6,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,2,-118:2,Y,92,Y,,has-direct-caller
0x0603833C,FUN_0603833C,global-FUN,FUN_06038202,mov|jsr,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,Y,21,-,,has-direct-caller
0x06039204,FUN_06039204,global-FUN,FUN_06039202,mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-2:1,N,0,-,callsite-shifted-A,callsite-shifted
0x0603AF00,DAT_0603AF00,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0603AF0C,FUN_0603AF0C,global-FUN,FUN_0603AB72,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-12:1,Y,6,-,callsite-shifted-A,callsite-shifted
0x0603AF38,FUN_0603AF38,global-FUN,FUN_0603AF0C,mov|sub,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603B6F8,DAT_0603B6F8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,4,0,,,,,,has-direct-caller
0x0603BC78,FUN_0603BC78,global-FUN,FUN_0603BBCC,add|add,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603C344,FUN_0603C344,global-FUN,FUN_0603C338,add|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603C478,FUN_0603C478,global-FUN,FUN_0603C46C,add|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603C7A4,FUN_0603C7A4,global-FUN,FUN_0603C796,add|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603C970,FUN_0603C970,global-FUN,FUN_0603C96C,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,2,-4:2,N,0,-,callsite-shifted-A,callsite-shifted
0x0603D704,FUN_0603D704,global-FUN,FUN_0603D6E4,add|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603E394,DAT_0603E394,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,2,0,,,,,,has-direct-caller
0x0603E788,FUN_0603E788,global-FUN,FUN_0603E774,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603E928,FUN_0603E928,global-FUN,FUN_0603E914,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603EA80,FUN_0603EA80,global-FUN,FUN_0603EA6C,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603EDA6,FUN_0603EDA6,global-FUN,FUN_0603ED92,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603F132,DAT_0603F132,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,2,0,,,,,,has-direct-caller
0x0603F33C,DAT_0603F33C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0603F4BE,DAT_0603F4BE,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,4,0,,,,,,has-direct-caller
0x0603FA32,FUN_0603FA32,global-FUN,FUN_0603FA1E,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0603FBFE,FUN_0603FBFE,global-FUN,FUN_0603FBFC,sts,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-2:1,N,0,-,callsite-shifted-A,callsite-shifted
0x0603FCF4,FUN_0603FCF4,global-FUN,FUN_0603FCDE,mov|add,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,Y,3,-,,has-direct-caller
0x0603FD0C,FUN_0603FD0C,global-FUN,FUN_0603FCF4,mov|add,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,2,-,callsite-shifted-B,zero-caller
0x0603FF92,FUN_0603FF92,global-FUN,FUN_0603FEE8,xtrct|sts,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,24,Y,dispatch-target,zero-caller
0x06040020,FUN_06040020,global-FUN,FUN_0603FFD0,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,4,6,-2:1;-4:2;-6:1;-8:1;-10:1,Y,5,-,,has-direct-caller
0x06040074,FUN_06040074,global-FUN,FUN_0604002C,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,4,-,callsite-shifted-B,zero-caller
0x060400B6,FUN_060400B6,global-FUN,FUN_06040080,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,4,-,callsite-shifted-B,zero-caller
0x060405CC,DAT_060405CC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06040634,DAT_06040634,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,2,0,,,,,,has-direct-caller
0x06040B50,DAT_06040B50,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,2,-8:2,,,,,has-direct-caller
0x06040B60,DAT_06040B60,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06040B6C,DAT_06040B6C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06040B7C,DAT_06040B7C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06040DA8,DAT_06040DA8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06040DEC,FUN_06040DEC,global-FUN,FUN_06040DCC,bt|tst,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06040E4C,FUN_06040E4C,global-FUN,FUN_06040E1C,mov|add,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06040EA0,FUN_06040EA0,global-FUN,FUN_06040E90,stc|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x060429D6,FUN_060429D6,global-FUN,FUN_060429CE,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-8:1,N,0,-,callsite-shifted-A,callsite-shifted
0x06042B7E,FUN_06042B7E,global-FUN,FUN_06042B74,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06042C70,FUN_06042C70,global-FUN,FUN_06042C64,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06043588,DAT_06043588,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,1,0,,,,,,has-direct-caller
0x06043A64,DAT_06043A64,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043A74,DAT_06043A74,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043A84,DAT_06043A84,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043A94,DAT_06043A94,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043AA4,DAT_06043AA4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043AB4,DAT_06043AB4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043AC4,DAT_06043AC4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043AD4,DAT_06043AD4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043AE4,DAT_06043AE4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043AF4,DAT_06043AF4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043B88,DAT_06043B88,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06043B8E,DAT_06043B8E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x06044060,FUN_06044060,global-FUN,FUN_06043F24,extu|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,-,,has-direct-caller
0x06044660,DAT_06044660,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0604469E,DAT_0604469E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06044ADA,FUN_06044ADA,global-FUN,FUN_06044A9A,add|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06044DF0,DAT_06044DF0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,3,0,,,,,,has-direct-caller
0x06044F14,DAT_06044F14,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06045006,FUN_06045006,global-FUN,FUN_06044E3C,sts|dmuls,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,18,0,,Y,3,-,,has-direct-caller
0x0604507E,FUN_0604507E,global-FUN,FUN_06045020,sts|dmuls,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,29,0,,Y,3,-,,has-direct-caller
0x060450F2,FUN_060450F2,global-FUN,FUN_06045098,sts|dmuls,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,20,0,,Y,3,-,,has-direct-caller
0x06045154,DAT_06045154,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x060451BE,FUN_060451BE,global-FUN,FUN_060451BC,mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,1,-2:1,N,0,-,,has-direct-caller
0x060451FA,FUN_060451FA,global-FUN,FUN_060451BE,mov|nop,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x0604521A,FUN_0604521A,global-FUN,FUN_060451FA,mov|lds,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x0604523A,FUN_0604523A,global-FUN,FUN_0604521A,mov|lds,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x060453EC,DAT_060453EC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
